a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws,regret_test,regret_val
57,0.424758004,0.420527563,0.424758101,1.480815056,1.414782773,1.480812747,0.411763209,0.410133514,0.411764561,0.515363768,1.754977234,0.489199348,1,1,455.0183179,491.665108,15.56006193,7.843231916,36.64679003,64,0,0.1,0.1,TRUE,TRUE,0.090605765,0.077436139
9,0.431679059,0.420527563,0.431679148,1.437485505,1.414782773,1.437486288,0.411636252,0.410133514,0.411636559,0.515363768,1.754977234,0.489199348,1,1,53.68036914,186.9066191,59.87195778,54.18528485,133.2262499,16,0,0.1,0,TRUE,TRUE,0.08368471,0.077563097
13,0.41767483,0.420527563,0.417674847,1.43769167,1.414782773,1.437692381,0.411401787,0.410133514,0.411402953,0.515363768,1.754977234,0.489199348,1,1,52.92067504,213.705838,76.14523816,68.97969389,160.7851629,16,0,0.02,0,TRUE,TRUE,0.097688939,0.077797561
37,0.431516549,0.420527563,0.431517077,1.444496045,1.414782773,1.44449682,0.411330319,0.410133514,0.411330544,0.515363768,1.754977234,0.489199348,1,1,48.9605031,219.15276,92.99638009,61.91587496,170.1922569,16,0,0.5,0.1,TRUE,TRUE,0.08384722,0.07786903
58,0.415928537,0.420527563,0.415929045,1.47169069,1.414782773,1.471689948,0.411056025,0.410133514,0.411056456,0.515363768,1.754977234,0.489199348,1,1,0.153780937,164.7470541,131.0056529,15.93302512,164.5932732,64,0,0.1,0.1,TRUE,FALSE,0.099435231,0.078143324
41,0.430248625,0.420527563,0.430249647,1.435263954,1.414782773,1.435263147,0.411002634,0.410133514,0.411003313,0.515363768,1.754977234,0.489199348,1,1,56.43502998,197.173259,68.45573401,53.51163507,140.738229,16,0,0.1,0.1,TRUE,TRUE,0.085115143,0.078196714
22,0.436635856,0.420527563,0.436636635,1.442177764,1.414782773,1.442178795,0.410776193,0.410133514,0.41077625,0.515363768,1.754977234,0.489199348,1,1,0.144600868,206.8788788,174.836061,14.30436707,206.734278,64,0,0.5,0,TRUE,FALSE,0.078727913,0.078423155
54,0.436644451,0.420527563,0.436644842,1.440831507,1.414782773,1.4408323,0.41077307,0.410133514,0.410773289,0.515363768,1.754977234,0.489199348,1,1,0.143713951,183.9121959,137.7530241,23.25904608,183.768482,64,0,0.5,0.1,TRUE,FALSE,0.078719317,0.078426278
30,0.415339249,0.420527563,0.415339156,1.439941255,1.414782773,1.43993142,0.410723454,0.410133514,0.410723854,0.515363768,1.754977234,0.489199348,1,1,0.146172047,174.6894491,118.886049,31.68079519,174.543277,64,0,0.02,0,TRUE,FALSE,0.100024519,0.078475895
29,0.415340028,0.420527563,0.415339786,1.438951996,1.414782773,1.438953616,0.410723382,0.410133514,0.410723788,0.515363768,1.754977234,0.489199348,1,1,458.1250281,492.9229228,13.67949486,8.042263985,34.79789472,64,0,0.02,0,TRUE,TRUE,0.100023741,0.078475966
