a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_max_mem,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws
16,0.34780811340948214,0.420527562950074,0.34780847062309683,1.2586050065841317,1.4147827727136262,1.2586050124898867,0.34625380003707606,0.4101335140625526,0.34625402679966477,0.5153637683698817,1.754977234431795,0.4891993484695554,1,4619358843,1,0.14342808723449707,2273.177839040756,2216.7855598926544,41.2470760345459,2273.0344109535217,16,0,0.02,0.0,false,false
17,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3428916896,1,79.2570390701294,593.7492501735687,445.08989095687866,49.4377818107605,514.4922111034393,16,0,0.0,0.1,true,true
18,0.34262764602558615,0.420527562950074,0.3426282244379968,1.2570843394683866,1.4147827727136262,1.2570842801355058,0.3386695676025109,0.4101335140625526,0.33867007708675434,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3787381131,1,0.14464282989501953,567.1673679351807,485.1617453098297,62.45345687866211,567.0227251052856,16,0,0.0,0.1,true,false
19,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3484249904,1,84.56397819519043,615.4971749782562,463.80110263824463,48.8516960144043,530.9331967830658,16,0,0.0,0.1,false,true
20,0.34156454878478826,0.420527562950074,0.3415656454842948,1.3611812940090018,1.4147827727136262,1.3611814373737756,0.343278113605362,0.4101335140625526,0.3432791531733197,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3808084955,1,0.1425025463104248,557.0176270008087,473.0186810493469,64.15921688079834,556.8751244544983,16,0,0.0,0.1,false,false
21,0.4201127080303826,0.420527562950074,0.4201135385832402,1.446725121861621,1.4147827727136262,1.4467251567388368,0.4074100045620732,0.4101335140625526,0.4074105123340108,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3444010768,1,89.3372449874878,536.7452640533447,362.1866443157196,57.28147506713867,447.40801906585693,16,0,0.5,0.1,true,true
22,0.41245546599327176,0.420527562950074,0.41245563494412085,1.3881754195613043,1.4147827727136262,1.3881761258830139,0.4145291070653949,0.4101335140625526,0.41452936626088954,0.5153637683698817,1.754977234431795,0.4891993484695554,1,4068918683,1,0.14308404922485352,843.2950282096863,766.4050505161285,59.25650906562805,843.1519441604614,16,0,0.5,0.1,true,false
23,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3473706976,1,85.92420196533203,654.7990820407867,501.5994985103607,47.50995898246765,568.8748800754547,16,0,0.5,0.1,false,true
24,0.32341816347110885,0.420527562950074,0.3234184810302476,1.4244987558081545,1.4147827727136262,1.4245007280661595,0.33276739364622165,0.4101335140625526,0.3327679176331475,0.5153637683698817,1.754977234431795,0.4891993484695554,1,4262569291,1,0.14392518997192383,1705.6546230316162,1633.3250651359558,57.23123002052307,1705.5106978416443,16,0,0.5,0.1,false,false
25,0.4409646447240132,0.420527562950074,0.440965048568962,1.4683799201424081,1.4147827727136262,1.468379565059915,0.4155503994280354,0.4101335140625526,0.41555059871314004,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3426682640,1,84.3774242401123,450.6565511226654,293.0183439254761,51.827423095703125,366.2791268825531,16,0,0.1,0.1,true,true
26,0.4331437431839058,0.420527562950074,0.4331443103082817,1.46230145178394,1.4147827727136262,1.4623025621556236,0.41745062826240575,0.4101335140625526,0.41745089886783915,0.5153637683698817,1.754977234431795,0.4891993484695554,1,4119408848,1,0.1421658992767334,1374.2188658714294,1312.5161480903625,45.188700914382935,1374.0766999721527,16,0,0.1,0.1,true,false
27,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3453763616,1,76.91571021080017,742.756954908371,603.8300547599792,43.2748761177063,665.8412446975708,16,0,0.1,0.1,false,true
28,0.36891561218106284,0.420527562950074,0.36891657631332553,1.4916089508232817,1.4147827727136262,1.491613744600174,0.36924735485784277,0.4101335140625526,0.36924789208035724,0.5153637683698817,1.754977234431795,0.4891993484695554,1,4618210443,1,0.14376378059387207,2122.583214044571,2043.1112480163574,64.17856693267822,2122.439450263977,16,0,0.1,0.1,false,false
29,0.4238033544020785,0.420527562950074,0.4238037368566039,1.4349506687963665,1.4147827727136262,1.4349510945203532,0.41117365299007713,0.4101335140625526,0.41117391801132475,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3420184592,1,78.35117030143738,441.78009510040283,279.1995859146118,62.82213091850281,363.42892479896545,16,0,0.02,0.1,true,true
30,0.4079788552120682,0.420527562950074,0.40797904785643535,1.3872939641548871,1.4147827727136262,1.3872942501273013,0.4084107681888334,0.4101335140625526,0.4084109653962764,0.5153637683698817,1.754977234431795,0.4891993484695554,1,4486838683,1,0.141754150390625,941.3310010433197,874.7365279197693,50.84483599662781,941.1892468929291,16,0,0.02,0.1,true,false
31,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,3488947504,1,76.22775101661682,856.3920350074768,721.7721059322357,41.325682163238525,780.16428399086,16,0,0.02,0.1,false,true
32,0.28127213804512907,0.420527562950074,0.28127284539599473,1.279449835565798,1.4147827727136262,1.2794504445544561,0.2720273106091997,0.4101335140625526,0.2720265079140183,0.5153637683698817,1.754977234431795,0.4891993484695554,1,4619134555,1,0.14204883575439453,2343.3658180236816,2283.7559521198273,44.43718099594116,2343.2237691879272,16,0,0.02,0.1,false,false
