a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws,regret_test,regret_val
49,0.346937896,0.420527563,0.346937165,1.450221183,1.414782773,1.450222788,0.360824563,0.410133514,0.360846336,0.515363768,1.754977234,0.489199348,1,1,542.612397,2120.774045,1475.101409,86.45656013,1578.161648,64,0,0,0.1,TRUE,TRUE,0.168425872,0.128374785
50,0.346937896,0.420527563,0.346937165,1.450221183,1.414782773,1.450222788,0.360824563,0.410133514,0.360846336,0.515363768,1.754977234,0.489199348,1,1,0.143522978,1632.252232,1448.483905,168.1154809,1632.108709,64,0,0,0.1,TRUE,FALSE,0.168425872,0.128374785
33,0.348373356,0.420527563,0.348380108,1.259006926,1.414782773,1.259025936,0.351101171,0.410133514,0.351111745,0.515363768,1.754977234,0.489199348,1,1,32.42283607,2394.952188,2113.010691,236.668627,2362.529352,16,0,0,0.1,TRUE,TRUE,0.166990412,0.138098177
42,0.330001843,0.420527563,0.330003584,1.385669162,1.414782773,1.385671415,0.343823075,0.410133514,0.343828004,0.515363768,1.754977234,0.489199348,1,1,0.143256903,1903.209164,1653.064678,230.2262611,1903.065907,32,0,0,0.1,TRUE,FALSE,0.185361926,0.145376274
9,0.33237975,0.420527563,0.332380847,0.956094312,1.414782773,0.956096056,0.342587529,0.410133514,0.342588397,0.515363768,1.754977234,0.489199348,1,1,21.28452802,7435.918004,5567.285574,1832.880931,7414.633476,2,0,0,0.1,TRUE,TRUE,0.182984018,0.14661182
26,0.334180067,0.420527563,0.334248648,1.095545021,1.414782773,1.095547173,0.3415909,0.410133514,0.341593075,0.515363768,1.754977234,0.489199348,1,1,0.143378496,2887.798119,2425.538646,449.066715,2887.65474,8,0,0,0.1,TRUE,FALSE,0.181183702,0.147608448
18,0.342000522,0.420527563,0.341999751,1.146949384,1.414782773,1.146954756,0.33668462,0.410133514,0.336685321,0.515363768,1.754977234,0.489199348,1,1,0.143262386,4416.376887,3502.253911,900.8703089,4416.233624,4,0,0,0.1,TRUE,FALSE,0.173363246,0.152514728
41,0.330105715,0.420527563,0.330103512,1.37626352,1.414782773,1.376268264,0.332372107,0.410133514,0.332372869,0.515363768,1.754977234,0.489199348,1,1,137.1907701,1947.093076,1562.501216,228.193449,1809.902306,32,0,0,0.1,TRUE,TRUE,0.185258053,0.156827242
2,0.347198694,0.420527563,0.347208145,1.171035328,1.414782773,1.171050855,0.329635957,0.410133514,0.329644151,0.515363768,1.754977234,0.489199348,1,1,0.178120613,13295.47671,9801.419653,3480.058378,13295.29859,1,0,0,0.1,TRUE,FALSE,0.168165074,0.159563392
1,0.347198694,0.420527563,0.347208145,1.171035328,1.414782773,1.171050855,0.329635957,0.410133514,0.329644151,0.515363768,1.754977234,0.489199348,1,1,30.65898871,13329.70518,9805.168141,3479.884273,13299.04619,1,0,0,0.1,TRUE,TRUE,0.168165074,0.159563392
17,0.334995521,0.420527563,0.334996648,1.067046504,1.414782773,1.06704791,0.326105191,0.410133514,0.326107346,0.515363768,1.754977234,0.489199348,1,1,14.77010894,4432.945471,3517.789404,887.5317152,4418.175362,4,0,0,0.1,TRUE,TRUE,0.180368248,0.163094158
25,0.323144639,0.420527563,0.32314543,1.157284679,1.414782773,1.157284422,0.321832993,0.410133514,0.321833944,0.515363768,1.754977234,0.489199348,1,1,17.094033,2880.38755,2394.652459,455.336062,2863.293517,8,0,0,0.1,TRUE,TRUE,0.19221913,0.167366356
34,0.299103344,0.420527563,0.299141365,1.357317947,1.414782773,1.357335651,0.305317985,0.410133514,0.305334208,0.515363768,1.754977234,0.489199348,1,1,0.144273043,2291.100421,2039.181216,238.6325669,2290.956148,16,0,0,0.1,TRUE,FALSE,0.216260425,0.183881364
10,0.307968499,0.420527563,0.307954229,1.012154862,1.414782773,1.012171737,0.299515246,0.410133514,0.299519878,0.515363768,1.754977234,0.489199348,1,1,0.14414835,7471.748041,5653.400671,1804.68206,7471.603893,2,0,0,0.1,TRUE,FALSE,0.207395269,0.189684102
