a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
11,0.43382097632341243,0.420527562950074,0.43382064603254555,1.4552372153579722,1.4147827727136262,1.4552383063315317,0.4134991468946161,0.4101335140625526,0.41349964814136664,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14139914512634277,59.48505687713623,33.25967502593994,13.368710994720459,59.34365773200989,32,0,0.02,0.0,true
12,0.4218990492164143,0.420527562950074,0.42189938004129646,1.4161923593900747,1.4147827727136262,1.4161931980294593,0.4101355171006129,0.4101335140625526,0.4101358154938597,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1403818130493164,55.335782051086426,27.829608917236328,14.702664136886597,55.19540023803711,32,0,0.1,0.0,true
13,0.41533924944390344,0.420527562950074,0.41533915552854994,1.43994125468335,1.4147827727136262,1.4399314201236444,0.41072345361996554,0.4101335140625526,0.41072385366090547,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14014506340026855,50.873987913131714,29.211528062820435,9.155287981033325,50.733842849731445,64,0,0.02,0.0,true
14,0.43381624537816377,0.420527562950074,0.4338167182228414,1.4825832486930062,1.4147827727136262,1.4825827748585114,0.4175666826821276,0.4101335140625526,0.4175645559412997,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14105796813964844,49.41111516952515,29.46118998527527,7.391766786575317,49.2700572013855,64,0,0.1,0.0,true
15,0.4230597007454342,0.420527562950074,0.42305922669197327,1.4178720016423147,1.4147827727136262,1.4178725795489857,0.4107979239792412,0.4101335140625526,0.41079844786578246,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1408383846282959,608.936420917511,118.40188074111938,476.7305860519409,608.7955825328827,1,0,0.02,0.1,true
16,0.4247820491233252,0.420527562950074,0.42478326426346014,1.4200897736949254,1.4147827727136262,1.4200903976242785,0.4134707228365728,0.4101335140625526,0.4134712449441711,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14001011848449707,598.3664619922638,106.64644742012024,478.1579558849335,598.2264518737793,1,0,0.1,0.1,true
17,0.42884286778471203,0.420527562950074,0.42884329424614687,1.4243773337816945,1.4147827727136262,1.4243768195498379,0.41815381648142536,0.4101335140625526,0.4181543895565678,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1420130729675293,319.2541301250458,72.08445692062378,233.86786603927612,319.11211705207825,2,0,0.02,0.1,true
18,0.42349375211002904,0.420527562950074,0.4234916620407343,1.420090041159825,1.4147827727136262,1.420090630961452,0.41347052717560406,0.4101335140625526,0.41347099899626816,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.142134428024292,320.6115119457245,65.68093395233154,241.90245294570923,320.4693775177002,2,0,0.1,0.1,true
19,0.4195992794500749,0.420527562950074,0.41959956220804173,1.4248355350127722,1.4147827727136262,1.4248369903174116,0.41275365453618873,0.4101335140625526,0.4127539962896687,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14079070091247559,178.86984014511108,48.98436212539673,117.03797698020935,178.7290494441986,4,0,0.02,0.1,true
20,0.41917418550804086,0.420527562950074,0.41917134975711323,1.4281920689343939,1.4147827727136262,1.4281919713609765,0.4120324176655499,0.4101335140625526,0.4120328143771306,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1406869888305664,177.01848697662354,44.980262756347656,119.13585495948792,176.87779998779297,4,0,0.1,0.1,true
21,0.4242517841232236,0.420527562950074,0.42425243078924346,1.4180296604212361,1.4147827727136262,1.4180294587788844,0.410496907072321,0.4101335140625526,0.4104973334777713,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14298009872436523,103.34063291549683,33.119251012802124,57.451005935668945,103.19765281677246,8,0,0.02,0.1,true
22,0.43042461736009807,0.420527562950074,0.4304239197294435,1.4181681809416924,1.4147827727136262,1.418168715888923,0.4148172648772668,0.4101335140625526,0.4148175627772912,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1399831771850586,102.57951998710632,32.0891752243042,57.8164222240448,102.43953680992126,8,0,0.1,0.1,true
23,0.4215170682828808,0.420527562950074,0.4215174394935153,1.442674991468727,1.4147827727136262,1.442675961445719,0.41209999664708374,0.4101335140625526,0.41210069280530415,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14232492446899414,77.92398500442505,38.22005558013916,27.02533197402954,77.78166007995605,16,0,0.02,0.1,true
24,0.4315995119088898,0.420527562950074,0.43159914918868947,1.4404506061424982,1.4147827727136262,1.4404508288280589,0.41225057655482855,0.4101335140625526,0.41225060061804997,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14404916763305664,75.53157711029053,34.12138628959656,28.953408002853394,75.38752794265747,16,0,0.1,0.1,true
25,0.4181465870455814,0.420527562950074,0.4181469088601042,1.440531905612913,1.4147827727136262,1.4405315406240886,0.4107711564387664,0.4101335140625526,0.4107734899771345,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14290976524353027,55.97279477119446,28.579488039016724,14.755179166793823,55.82988500595093,32,0,0.02,0.1,true
26,0.43771950979154695,0.420527562950074,0.43772016494071675,1.4331192741700827,1.4147827727136262,1.433119684351528,0.41197035556704154,0.4101335140625526,0.41197074192839955,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14254117012023926,61.84133005142212,33.28568196296692,15.95618200302124,61.69878888130188,32,0,0.1,0.1,true
27,0.41815030175063295,0.420527562950074,0.4181500486496257,1.4562955651699805,1.4147827727136262,1.4562882201305025,0.41059126344106,0.4101335140625526,0.410591580370848,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14041805267333984,49.386054039001465,29.30256199836731,7.4825119972229,49.245635986328125,64,0,0.02,0.1,true
28,0.4159285232518233,0.420527562950074,0.415929032418632,1.4716905964495366,1.4147827727136262,1.471689765838097,0.4110560093987128,0.4101335140625526,0.41105644418142995,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14105606079101562,54.59331393241882,34.79903721809387,7.332169055938721,54.45225787162781,64,0,0.1,0.1,true
