a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws,regret_test,regret_val
64,0.419527352,0.420527563,0.419527581,1.47336285,1.414782773,1.47336311,0.407641843,0.410133514,0.407641882,0.515363768,1.754977234,0.489199348,1,1,0.158246994,750.1533,618.644552,106.773977,749.9950531,64,0,0.02,0.1,FALSE,FALSE,0.095836417,0.081557506
63,0.419527352,0.420527563,0.419527581,1.47336285,1.414782773,1.47336311,0.407641843,0.410133514,0.407641882,0.515363768,1.754977234,0.489199348,1,1,760.4791439,1256.488727,441.9335489,40.80513501,496.0095832,64,0,0.02,0.1,FALSE,TRUE,0.095836417,0.081557506
31,0.400369244,0.420527563,0.400369407,1.414787232,1.414782773,1.414786888,0.400686924,0.410133514,0.400687168,0.515363768,1.754977234,0.489199348,1,1,758.895812,1235.309997,410.2498119,52.579386,476.4141848,64,0,0.02,0,FALSE,TRUE,0.114994524,0.088512424
32,0.400369572,0.420527563,0.400369692,1.414843241,1.414782773,1.414840131,0.400685411,0.410133514,0.400685626,0.515363768,1.754977234,0.489199348,1,1,0.144202948,764.387821,636.0726631,105.1850181,764.243618,64,0,0.02,0,FALSE,FALSE,0.114994197,0.088513938
44,0.418742374,0.420527563,0.418743209,1.520832522,1.414782773,1.520834533,0.399016122,0.410133514,0.399016488,0.515363768,1.754977234,0.489199348,1,1,0.150167942,1275.573196,1033.039518,228.5973959,1275.423028,16,0,0.1,0.1,FALSE,FALSE,0.096621395,0.090183227
43,0.403557607,0.420527563,0.403557547,1.518816181,1.414782773,1.518817285,0.397734299,0.410133514,0.397734505,0.515363768,1.754977234,0.489199348,1,1,49.88333797,1294.551746,1004.244719,226.468569,1244.668408,16,0,0.1,0.1,FALSE,TRUE,0.111806162,0.09146505
59,0.415510103,0.420527563,0.415507798,1.554540805,1.414782773,1.554544374,0.395746571,0.410133514,0.395747134,0.515363768,1.754977234,0.489199348,1,1,751.733808,1227.887684,411.2279789,51.48879004,476.1538761,64,0,0.1,0.1,FALSE,TRUE,0.099853665,0.093452777
60,0.415510103,0.420527563,0.415507798,1.554540805,1.414782773,1.554544374,0.395746571,0.410133514,0.395747134,0.515363768,1.754977234,0.489199348,1,1,0.187137842,816.113348,675.059623,112.4796801,815.9262102,64,0,0.1,0.1,FALSE,FALSE,0.099853665,0.093452777
28,0.401360568,0.420527563,0.401360699,1.422922977,1.414782773,1.422925496,0.394264357,0.410133514,0.39426267,0.515363768,1.754977234,0.489199348,1,1,0.145260096,761.0483241,620.3648891,113.959523,760.903064,64,0,0.1,0,FALSE,FALSE,0.1140032,0.094934991
27,0.401360568,0.420527563,0.401360699,1.422922977,1.414782773,1.422925496,0.394264357,0.410133514,0.39426267,0.515363768,1.754977234,0.489199348,1,1,752.009057,1246.6775,437.524564,44.15630007,494.6684427,64,0,0.1,0,FALSE,TRUE,0.1140032,0.094934991
