a_config,a_profit_train,a_profit_val,a_profit_test,a_profit_RN_train,a_profit_RN_val,a_profit_RN_test,a_profit_RN_train_fc,a_profit_RN_val_fc,a_profit_RN_test_fc,ab_profit_PF_train,ab_profit_PF_val,ab_profit_PF_test,b_train_time,hp_reg,hp_gamma,hp_lr,hp_bs,hp_hl1_units,hp_hl1_act
19,1.3046096563339233,0.251101016998291,0.19363754987716675,1.4213865995407104,0.4109727144241333,0.4206269383430481,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,71.38140296936035,0,10,5e-06,64,24,softplus
20,1.3196862936019897,0.25534674525260925,0.19734615087509155,1.4404690265655518,0.4089277982711792,0.4219641387462616,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,60.31206727027893,0,10,5e-05,64,24,softplus
21,1.4377912282943726,0.40916258096694946,0.33768558502197266,1.438452959060669,0.41201385855674744,0.4195396602153778,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,178.26034808158875,0.1,0.1,5e-06,8,24,softplus
22,1.4404224157333374,0.4122198820114136,0.3390367925167084,1.4364814758300781,0.4151650071144104,0.4227871596813202,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,97.8247640132904,0.1,0.1,5e-05,8,24,softplus
23,1.4335722923278809,0.40232598781585693,0.3304173946380615,1.4278090000152588,0.40798109769821167,0.4181336462497711,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,64.77483654022217,0.1,0.3,5e-06,8,24,softplus
24,1.4486265182495117,0.40543133020401,0.33690646290779114,1.4401891231536865,0.41275694966316223,0.42067933082580566,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,58.86929440498352,0.1,0.3,5e-05,8,24,softplus
25,1.4306058883666992,0.39489734172821045,0.32290810346603394,1.4313026666641235,0.40981215238571167,0.41936033964157104,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,97.83800554275513,0.1,1,5e-06,8,24,softplus
26,1.4336411952972412,0.39540642499923706,0.3245709538459778,1.4342765808105469,0.41257745027542114,0.41732001304626465,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,55.54781484603882,0.1,1,5e-05,8,24,softplus
27,1.4108221530914307,0.3694220185279846,0.29139313101768494,1.4255996942520142,0.41008007526397705,0.4202570617198944,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,99.37434720993042,0.1,3,5e-06,8,24,softplus
28,1.4493355751037598,0.3767279088497162,0.299662321805954,1.4533696174621582,0.413204550743103,0.4222690463066101,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,141.1489760875702,0.1,3,5e-05,8,24,softplus
29,1.3137096166610718,0.2552415132522583,0.197028249502182,1.4231698513031006,0.4100487232208252,0.42369651794433594,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,163.6170301437378,0.1,10,5e-06,8,24,softplus
30,1.3430500030517578,0.2681128978729248,0.20950475335121155,1.4427731037139893,0.41275256872177124,0.4358411729335785,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,128.41169810295105,0.1,10,5e-05,8,24,softplus
31,1.4364725351333618,0.4066246449947357,0.33577433228492737,1.4365124702453613,0.41046273708343506,0.41953587532043457,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,108.73126244544983,0.1,0.1,5e-06,64,24,softplus
32,1.441908836364746,0.40666627883911133,0.34167706966400146,1.4411927461624146,0.4082544445991516,0.41906559467315674,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,70.1564040184021,0.1,0.1,5e-05,64,24,softplus
33,1.4361629486083984,0.40233027935028076,0.3309015929698944,1.4367198944091797,0.4087675213813782,0.4190264046192169,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,57.654717445373535,0.1,0.3,5e-06,64,24,softplus
