a_config,a_profit_train,a_profit_val,a_profit_test,a_profit_train_fc,a_profit_val_fc,a_profit_test_fc,ab_profit_PF_train,ab_profit_PF_val,ab_profit_PF_test,b_train_time_per_epoch,b_train_time_forward,b_train_time_backward,b_train_time_val,hp_reg,hp_gamma,hp_lr,hp_bs,hp_ws,smoothing,loss,framework,,regret_val,regret_test,train_time
53,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.36400745,6.624712538,1.784199882,5.893184017,0,0.3,0.01,64,TRUE,logBar,profit,ID,,,,
54,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.39218929,6.714087857,2.037884359,5.521686572,0,0.3,0.001,64,TRUE,logBar,profit,ID,,,,
57,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.12964743,6.677547261,1.599072174,5.727920285,0,1,0.01,64,TRUE,logBar,profit,ID,,,,
58,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.32609068,6.787867467,1.877869262,5.48643023,0,1,0.001,64,TRUE,logBar,profit,ID,,,,
61,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.81885759,6.816439099,1.85266191,5.974948486,0,3,0.01,64,TRUE,logBar,profit,ID,,,,
62,-1.414547205,-0.410162508,-0.420511037,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.24649688,6.476836884,1.719268366,5.915224605,0,3,0.001,64,TRUE,logBar,profit,ID,,,,
65,-1.382293105,-0.341269463,-0.353308141,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,20.30761096,1.073956098,0.519404691,5.616689935,0,0.001,0.01,8,FALSE,logBar,profit,ID,,0.147960573,0.162104726,2030.761096
73,-1.574623108,-0.31276232,-0.286907256,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.28494442,0.889342368,0.249212165,2.79736473,0,0.01,0.01,8,FALSE,logBar,profit,ID,,,,
97,-1.326748848,-0.298910171,-0.320387125,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,11.88177394,7.480011782,1.306892563,3.034179144,0,0.001,0.01,64,FALSE,logBar,profit,ID,,,,
69,-1.428800106,-0.288845181,-0.277232528,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,18.58192319,1.111438088,0.494187673,5.490063812,0,0.003,0.01,8,FALSE,logBar,profit,ID,,,,
77,-1.542427778,-0.280431062,-0.256084085,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.55998634,0.974265932,0.317965241,3.912537709,0,0.03,0.01,8,FALSE,logBar,profit,ID,,,,
66,-1.33112061,-0.258464932,-0.254826516,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,19.81393901,1.023322263,0.589564467,6.281829856,0,0.001,0.001,8,FALSE,logBar,profit,ID,,,,
98,-1.314113259,-0.252047092,-0.231151342,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,11.56704439,7.228706024,1.273477163,3.003386342,0,0.001,0.001,64,FALSE,logBar,profit,ID,,,,
67,-1.281147957,-0.23193723,-0.206614256,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.17692748,0.93144808,0.383755716,3.431369239,0,0.001,0.0001,8,FALSE,logBar,profit,ID,,,,
70,-1.217065573,-0.22856012,-0.225814253,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,19.0485851,1.064555734,0.605114299,5.816273795,0,0.003,0.001,8,FALSE,logBar,profit,ID,,,,
101,-1.191448927,-0.221458435,-0.213191241,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,13.85065793,7.264544772,2.010227944,4.434221791,0,0.003,0.01,64,FALSE,logBar,profit,ID,,,,
102,-1.113857269,-0.219287634,-0.198564082,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,11.44698109,7.276029339,1.187921451,2.90788566,0,0.003,0.001,64,FALSE,logBar,profit,ID,,,,
74,-1.359024405,-0.206610858,-0.206986457,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.07528274,0.957901866,0.489151188,4.065490195,0,0.01,0.001,8,FALSE,logBar,profit,ID,,,,
105,-1.288836718,-0.189312875,-0.197596207,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.08681857,7.405438835,1.914827,4.610097343,0,0.01,0.01,64,FALSE,logBar,profit,ID,,,,
71,-1.121734619,-0.178715944,-0.156356335,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.01535832,0.970520769,0.367752786,3.449863698,0,0.003,0.0001,8,FALSE,logBar,profit,ID,,,,
81,-1.442239046,-0.178093582,-0.145905793,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.25901508,0.9803023,0.325466223,5.075368982,0,0.1,0.01,8,FALSE,logBar,profit,ID,,,,
75,-0.943285823,-0.137789011,-0.100575864,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,12.28785697,0.882012904,0.267814539,2.853551772,0,0.01,0.0001,8,FALSE,logBar,profit,ID,,,,
94,-0.983730435,-0.133210033,-0.167310596,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.85951991,0.991546507,0.24034607,5.309662704,0,3,0.001,8,FALSE,logBar,profit,ID,,,,
