a_config,a_profit_train,a_profit_val,a_profit_test,a_profit_train_fc,a_profit_val_fc,a_profit_test_fc,ab_profit_PF_train,ab_profit_PF_val,ab_profit_PF_test,b_train_time_per_epoch,b_train_time_forward,b_train_time_backward,b_train_time_val,hp_reg,hp_gamma,hp_lr,hp_bs,hp_ws,smoothing,loss,framework,hp_hl1_units,hp_hl1_act,,regret_val,regret_test,train_time
15,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.42813376,1.008481167,0.362903772,6.000283436,0,0.03,0.0001,8,TRUE,logBar,profit,ID,24,softplus,,,,
17,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,18.26150641,1.125102381,0.355480959,6.703264447,0,0.1,0.01,8,TRUE,logBar,profit,ID,24,softplus,,,,
18,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,18.50179407,1.05585923,0.447360569,6.514076312,0,0.1,0.001,8,TRUE,logBar,profit,ID,24,softplus,,,,
19,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.71511468,0.973727323,0.407499605,6.337302464,0,0.1,0.0001,8,TRUE,logBar,profit,ID,24,softplus,,,,
21,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.5612951,1.116301179,0.293407202,6.430259285,0,0.3,0.01,8,TRUE,logBar,profit,ID,24,softplus,,,,
22,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,18.04532676,1.05583915,0.364398806,6.301504594,0,0.3,0.001,8,TRUE,logBar,profit,ID,24,softplus,,,,
23,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.17156319,1.098664902,0.289647782,5.75177364,0,0.3,0.0001,8,TRUE,logBar,profit,ID,24,softplus,,,,
25,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.05138154,0.94031227,0.279177962,5.303788156,0,1,0.01,8,TRUE,logBar,profit,ID,24,softplus,,,,
26,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.32042258,1.037667557,0.298618979,6.024934495,0,1,0.001,8,TRUE,logBar,profit,ID,24,softplus,,,,
27,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.64916312,1.017297021,0.312237951,6.52294423,0,1,0.0001,8,TRUE,logBar,profit,ID,24,softplus,,,,
29,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.78812496,1.048943626,0.298423211,3.889207363,0,3,0.01,8,TRUE,logBar,profit,ID,24,softplus,,,,
30,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.10605321,1.095356482,0.218885307,5.931243102,0,3,0.001,8,TRUE,logBar,profit,ID,24,softplus,,,,
33,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.0248637,8.6096547,2.275571992,5.086573839,0,0.001,0.01,64,TRUE,logBar,profit,ID,24,softplus,,,,
34,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.81173811,6.576537998,2.212236237,5.901808165,0,0.001,0.001,64,TRUE,logBar,profit,ID,24,softplus,,,,
37,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.35989398,6.921870205,2.105842917,6.075094294,0,0.003,0.01,64,TRUE,logBar,profit,ID,24,softplus,,,,
38,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.09575709,6.606526896,2.218866887,6.101527982,0,0.003,0.001,64,TRUE,logBar,profit,ID,24,softplus,,,,
41,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,12.8084865,6.807469942,2.194933768,3.744206102,0,0.01,0.01,64,TRUE,logBar,profit,ID,24,softplus,,,,
42,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.18175544,6.507956726,2.317439706,6.219885438,0,0.01,0.001,64,TRUE,logBar,profit,ID,24,softplus,,,,
45,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,13.39797046,6.935601261,2.382456161,3.96962753,0,0.03,0.01,64,TRUE,logBar,profit,ID,24,softplus,,,,
46,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.44117396,6.949690722,1.912848967,6.366637336,0,0.03,0.001,64,TRUE,logBar,profit,ID,24,softplus,,,,
49,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.4452189,6.679462274,1.979838204,6.673223381,0,0.1,0.01,64,TRUE,logBar,profit,ID,24,softplus,,,,
50,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.80437809,6.44631324,2.02356773,6.20925377,0,0.1,0.001,64,TRUE,logBar,profit,ID,24,softplus,,,,
53,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.15231305,6.61739163,2.131843205,6.104673262,0,0.3,0.01,64,TRUE,logBar,profit,ID,24,softplus,,,,
54,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.95747969,6.756783636,2.122709036,6.898434392,0,0.3,0.001,64,TRUE,logBar,profit,ID,24,softplus,,,,
57,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.99124465,6.538919935,1.822072718,6.481604868,0,1,0.01,64,TRUE,logBar,profit,ID,24,softplus,,,,
58,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.41772228,6.74180211,1.772632811,5.731303533,0,1,0.001,64,TRUE,logBar,profit,ID,24,softplus,,,,
61,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.06093257,6.87658717,1.738433785,6.315147073,0,3,0.01,64,TRUE,logBar,profit,ID,24,softplus,,,,
62,-1.422380209,-0.407201052,-0.418356299,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.30202656,6.741788067,1.878495438,6.552838671,0,3,0.001,64,TRUE,logBar,profit,ID,24,softplus,,,,
97,-1.290311098,-0.334939063,-0.324265987,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,13.09103886,7.826553607,1.73193994,3.451750306,0,0.001,0.01,64,FALSE,logBar,profit,ID,24,softplus,,0.154290974,0.19114688,1309.103886
66,-1.294611216,-0.334810197,-0.324356198,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.1276917,0.96416345,0.427888858,3.604021962,0,0.001,0.001,8,FALSE,logBar,profit,ID,24,softplus,,,,
65,-1.30650425,-0.333311796,-0.32962817,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,20.53247321,1.109646447,0.61352327,6.377883835,0,0.001,0.01,8,FALSE,logBar,profit,ID,24,softplus,,,,
69,-1.435690403,-0.332670599,-0.32426089,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.40095234,1.083331695,0.416462197,3.489990193,0,0.003,0.01,8,FALSE,logBar,profit,ID,24,softplus,,,,
